Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2019-01-04,1677.21142578125,1698.9713201795644,1645.1747742380483,1697.8990065466005,4280862
2019-01-07,1696.0220947265625,1705.7626932836527,1680.9197108080432,1690.5709680929367,1856423
2019-01-08,1692.1351318359375,1703.6182691027109,1682.9754135005005,1702.7246380455952,1691756
2019-01-09,1686.2373046875,1714.8782275256901,1668.1412733652514,1704.5121276965324,2414376
2019-01-10,1687.6673583984375,1702.3675489796976,1672.9670587313303,1688.9630800900936,3053461
2019-01-11,1646.5601806640625,1675.5584689320447,1639.8132215948276,1671.0903130148924,9209862
2019-01-14,1620.376708984375,1654.111285443308,1617.472407699831,1653.2176542788327,3615370
2019-01-15,1669.1246337890625,1670.5096968923947,1615.685436877468,1617.472699528881,7711653
2019-01-16,1671.224609375,1675.5586993935942,1650.5370228159832,1671.090542861878,2359280
2019-01-17,1696.43408203125,1699.747560945904,1675.8365088480277,1681.836627743102,2625816
2019-01-18,1702.1204833984375,1705.2996078934375,1680.0452402276796,1684.522972744278,1683728
2019-01-21,1709.329833984375,1730.1961144968013,1697.463840963111,1703.3297152033729,2409803
2019-01-22,1703.2398681640625,1717.882031213646,1692.5828432132366,1707.8966661212382,2457093
2019-01-23,1679.6871337890625,1707.0013043197814,1674.6720948342377,1702.4340386523454,2578169
2019-01-24,1702.9267578125,1706.240236654179,1679.1499507815697,1687.926351585518,1962927
2019-01-25,1720.1658935546875,1732.8826111073051,1702.4340277596832,1703.329574328731,2327080
2019-01-28,1750.7939453125,1757.0627727381714,1724.3753154471708,1731.09191626039,2769033
2019-01-29,1775.64501953125,1781.2870068339678,1734.3603431728175,1757.0624275981907,2557626
